CódigodoMunicípio,Município,Estado,AnodeReferência,Naturezajurídica,POP_TOTAL,REGIAO,PERCENT_AG,PERCENT_ES,INVESTIMENTO_TOTAL_ATUAL2020_y,INVESTIMENTO_TOTAL_AG_ATUAL2020_y,INVESTIMENTO_TOTAL_ES_ATUAL2020_y,INVESTIMENTO_TOTAL_ATUAL2020_PCP,INVESTIMENTO_TOTAL_AG_ATUAL2020_PCP,INVESTIMENTO_TOTAL_ES_ATUAL2020_PCP
110001,Alta Floresta D Oeste,RO,2020,Autarquia,22728.0,N,0.47148891235480467,,209727.38841982657,161592.15860278934,0.0,0.611502991904259,0.17263199577613517,0.0
110002,Ariquemes,RO,2020,Empresa privada,109523.0,N,0.8469545209681985,0.020817545173159976,72901315.06470968,60388264.92529032,6761809.887429842,57.85593245254422,51.038527980424206,0.5127616117162606
110003,Cabixi,RO,2020,Sociedade de economia mista com administração pública,5188.0,N,0.4494988434849653,,29690.755370024173,0.0,0.0,1.8222089437162685,0.0,0.0
110004,Cacoal,RO,2020,Autarquia,85893.0,N,0.7880618909573539,0.5384839276774591,15025630.748024607,10672979.468024608,4279910.45,52.40730641612238,1.7320327616918723,49.828396376887525
110005,Cerejeiras,RO,2020,Administração pública direta,16204.0,N,,0.852937546284868,17070419.609297544,0.0,15600648.452018647,,,
110005,Cerejeiras,RO,2020,Sociedade de economia mista com administração pública,16204.0,N,0.634658109108862,,17070419.609297544,0.0,15600648.452018647,3.2405541841520615,0.0,0.0
110006,Colorado do Oeste,RO,2020,Sociedade de economia mista com administração pública,15544.0,N,0.9139861039629439,,3397333.380137626,1739667.6817334702,0.0,1.9898520329387543,0.0,0.0
110007,Corumbiara,RO,2020,Sociedade de economia mista com administração pública,7220.0,N,0.27825484764542935,,586225.15936,586225.15936,0.0,0.0,0.0,0.0
110008,Costa Marques,RO,2020,Sociedade de economia mista com administração pública,18798.0,N,0.17140121289498883,,4252641.489515994,2337270.459863173,0.0,0.0,0.0,0.0
110009,Espigão D Oeste,RO,2020,Sociedade de economia mista com administração pública,32695.0,N,0.44759137482795536,,8282232.835533012,0.0,6773489.554251084,1.2182342865881632,0.0,0.0
110009,Espigão D Oeste,RO,2020,Administração pública direta,32695.0,N,,0.028597644899831777,8282232.835533012,0.0,6773489.554251084,,,
110010,Guajará-Mirim,RO,2020,Sociedade de economia mista com administração pública,46556.0,N,0.3844187644986683,0.06903514047598591,21554718.827411115,59851.082117382364,15484501.44406782,0.7824381390153794,0.0,0.0
110011,Jaru,RO,2020,Sociedade de economia mista com administração pública,51620.0,N,0.5290585044556374,,51448704.47050248,36004083.820741,3807709.027327449,3.0835757458349478,0.0,0.0
110012,Ji-Paraná,RO,2020,Sociedade de economia mista com administração pública,130009.0,N,0.6264566299256206,0.01183764200939935,119272647.84950817,91343351.05303846,8864647.998988148,28.530266058503646,0.0,22.184133867655316
110013,Machadinho D Oeste,RO,2020,Sociedade de economia mista com administração pública,40867.0,N,0.27540558396750436,,3459887.9323068154,2514268.772935177,0.0,0.11483250544449065,0.0,0.0
110014,Nova Brasilândia D Oeste,RO,2020,Sociedade de economia mista com administração pública,20489.0,N,0.36995460979061934,,23432936.070901956,0.0,23062819.803651955,1.9417999902386647,0.0,0.0
110014,Nova Brasilândia D Oeste,RO,2020,Administração pública direta,20489.0,N,,0.09273268583142173,23432936.070901956,0.0,23062819.803651955,,,
110015,Ouro Preto do Oeste,RO,2020,Sociedade de economia mista com administração pública,35737.0,N,0.6699499118560596,,2164021.909779801,75064.63140615348,0.0,0.2631001483056776,0.0,0.0
110018,Pimenta Bueno,RO,2020,Empresa privada,36881.0,N,0.8697703424527534,0.05967842520539031,12710246.816931898,10027568.436306173,1965930.4974674012,16.59285811122258,12.89824923402294,0.0
110020,Porto Velho,RO,2020,Sociedade de economia mista com administração pública,539354.0,N,0.32866540342706274,0.058820366586694456,308909446.5734314,213446838.14755744,37953917.518619485,5.730824931306712,0.0,0.0
110025,Presidente Médici,RO,2020,Administração pública direta,18571.0,N,,0.29739917075009425,13801021.823953588,1549449.9365216023,10617172.528560907,,,
110025,Presidente Médici,RO,2020,Sociedade de economia mista com administração pública,18571.0,N,0.6385224274406333,,13801021.823953588,1549449.9365216023,10617172.528560907,5.915762209897151,4.7385708900974635,0.0
110026,Rio Crespo,RO,2020,Sociedade de economia mista com administração pública,3804.0,N,0.13748685594111462,,654872.0857488132,641183.76805,0.0,0.0,0.0,0.0
110028,Rolim de Moura,RO,2020,Empresa privada,55407.0,N,0.8179832873102677,0.023408594581912034,16510177.992881155,13673573.363610629,482439.47446862917,24.00877307921382,24.00226794448355,0.0
110029,Santa Luzia D Oeste,RO,2020,Sociedade de economia mista com administração pública,6216.0,N,0.5138352638352638,,1292710.3385319998,1135811.24626,0.0,5.125333011583011,0.0,0.0
110030,Vilhena,RO,2020,Autarquia,102211.0,N,1.0,,4548619.290445643,2672796.2893922897,0.0,14.271861052137245,11.441692968467189,0.0
110032,São Miguel do Guaporé,RO,2020,Sociedade de economia mista com administração pública,23077.0,N,0.19174936083546387,,57214.83227137133,0.0,0.0,1.3690960696797678,0.0,0.0
110033,Nova Mamoré,RO,2020,Sociedade de economia mista com administração pública,31392.0,N,0.08922655453618757,,221021.92541796484,221021.92541796484,0.0,0.0,0.0,0.0
110034,Alvorada D Oeste,RO,2020,Autarquia,14106.0,N,0.6047781086062668,0.4606550404083369,430562.526194136,430562.4905118567,0.035682279319999996,9.492016163334752,9.492016163334752,0.0
110037,Alto Alegre dos Parecis,RO,2020,Administração pública direta,13255.0,N,0.23281780460203697,,571661.2562939036,571661.2562939036,0.0,,,
110040,Alto Paraíso,RO,2020,Sociedade de economia mista com administração pública,21847.0,N,0.06367006911704125,,1816882.3004053002,952615.88396,0.0,0.0,0.0,0.0
110045,Buritis,RO,2020,Empresa privada,40356.0,N,0.10836059074239271,,7522876.889318557,6806283.783570804,251218.33146571682,20.512791406482307,15.322956189909801,0.0
110050,Novo Horizonte do Oeste,RO,2020,Sociedade de economia mista com administração pública,8329.0,N,0.32512906711489975,,446584.70526966994,320591.884025,0.0,4.239456117180934,0.0,0.0
110060,Cacaulândia,RO,2020,Sociedade de economia mista com administração pública,6269.0,N,0.1057584941776998,,12118378.957188578,2473298.220862713,9220717.03362501,4.972084862019461,4.972084862019461,0.0
110060,Cacaulândia,RO,2020,Administração pública direta,6269.0,N,,0.23927261126176425,12118378.957188578,2473298.220862713,9220717.03362501,,,
110070,Campo Novo de Rondônia,RO,2020,Administração pública direta,14266.0,N,0.2702229076125053,,0.0,0.0,0.0,,,
110080,Candeias do Jamari,RO,2020,Sociedade de economia mista com administração pública,27388.0,N,0.436432014020739,,5799031.149181518,227290.03074209567,0.0,0.0,0.0,0.0
110090,Castanheiras,RO,2020,Sociedade de economia mista com administração pública,2987.0,N,0.2537663207231336,,942963.3566578804,421643.3308493843,0.0,0.0,0.0,0.0
110092,Chupinguaia,RO,2020,Administração pública direta,11472.0,N,1.0,,0.0,0.0,0.0,,,
110094,Cujubim,RO,2020,Sociedade de economia mista com administração pública,26183.0,N,0.06206317075965321,,592003.8697834315,586225.15936,0.0,0.0,0.0,0.0
110100,Governador Jorge Teixeira,RO,2020,Administração pública direta,7445.0,N,0.031161853593015446,,0.0,0.0,0.0,,,
