codigo_ibge;nome;latitude;longitude;capital;codigo_uf;siafi_id;ddd;fuso_horario
520005;Abadia de GoiÃƒÂ¡s;-167.573;-494.412;0;52;1050;62;America/Sao_Paulo
310010;Abadia dos Dourados;-184.831;-473.916;0;31;4001;34;America/Sao_Paulo
520010;AbadiÃƒÂ¢nia;-16.197;-487.057;0;52;9201;62;America/Sao_Paulo
310020;AbaetÃƒÂ©;-191.551;-454.444;0;31;4003;37;America/Sao_Paulo
150010;Abaetetuba;-172.183;-488.788;0;15;401;91;America/Sao_Paulo
230010;Abaiara;-734.588;-390.416;0;23;1301;88;America/Sao_Paulo
290010;AbaÃƒÂ­ra;-132.488;-416.619;0;29;3301;77;America/Sao_Paulo
290020;AbarÃƒÂ©;-872.073;-391.162;0;29;3303;75;America/Sao_Paulo
410010;AbatiÃƒÂ¡;-233.049;-503.133;0;41;7401;43;America/Sao_Paulo
420005;Abdon Batista;-276.126;-510.233;0;42;9939;49;America/Sao_Paulo
150013;Abel Figueiredo;-495.333;-483.933;0;15;375;94;America/Sao_Paulo
420010;Abelardo Luz;-265.716;-523.229;0;42;8001;49;America/Sao_Paulo
310030;Abre Campo;-202.996;-424.743;0;31;4005;31;America/Sao_Paulo
260005;Abreu e Lima;-790.072;-348.984;0;26;2631;81;America/Sao_Paulo
170025;AbreulÃƒÂ¢ndia;-962.101;-491.518;0;17;337;63;America/Sao_Paulo
310040;Acaiaca;-20.359;-431.439;0;31;4007;31;America/Sao_Paulo
210005;AÃƒÂ§ailÃƒÂ¢ndia;-494.714;-475.004;0;21;961;99;America/Sao_Paulo
290030;Acajutiba;-116.575;-380.197;0;29;3305;75;America/Sao_Paulo
150020;AcarÃƒÂ¡;-195.383;-481.985;0;15;403;91;America/Sao_Paulo
230015;Acarape;-422.083;-387.055;0;23;1231;85;America/Sao_Paulo
230020;AcaraÃƒÂº;-288.769;-401.183;0;23;1303;88;America/Sao_Paulo
240010;Acari;-64.282;-366.347;0;24;1601;84;America/Sao_Paulo
220005;AcauÃƒÂ£;-821.954;-410.831;0;22;266;89;America/Sao_Paulo
430003;AceguÃƒÂ¡;-318.665;-541.615;0;43;1118;53;America/Sao_Paulo
230030;Acopiara;-608.911;-39.448;0;23;1305;88;America/Sao_Paulo
510010;Acorizal;-15.194;-563.632;0;51;9001;65;America/Porto_Velho
120001;AcrelÃƒÂ¢ndia;-982.581;-668.972;0;12;643;68;America/Rio_Branco
