COD_IBGE;NOME_ENTE;NOME_SIMPLIFICADO;SIGLA_UF;NOME_UF;REGIAO;IDHM;IDHM_RENDA;IDHM_EDUCACAO;IDHM_LONGEVIDADE
110001;Alta Floresta D'Oeste;ALTA FLORESTA DOESTE;RO;Rondônia;N;0,641;0,763;0,526;0,657
110002;Ariquemes;ARIQUEMES;RO;Rondônia;N;0,702;0,806;0,6;0,716
110003;Cabixi;CABIXI;RO;Rondônia;N;0,65;0,757;0,559;0,65
110004;Cacoal;CACOAL;RO;Rondônia;N;0,718;0,821;0,62;0,727
110005;Cerejeiras;CEREJEIRAS;RO;Rondônia;N;0,692;0,799;0,602;0,688
110006;Colorado do Oeste;COLORADO DO OESTE;RO;Rondônia;N;0,685;0,814;0,584;0,676
110007;Corumbiara;CORUMBIARA;RO;Rondônia;N;0,613;0,774;0,473;0,63
110008;Costa Marques;COSTA MARQUES;RO;Rondônia;N;0,611;0,751;0,493;0,616
110009;Espigão D'Oeste;ESPIGAO DOESTE;RO;Rondônia;N;0,672;0,819;0,536;0,691
110010;Guajará-Mirim;GUAJARA MIRIM;RO;Rondônia;N;0,657;0,823;0,519;0,663
110011;Jaru;JARU;RO;Rondônia;N;0,689;0,825;0,577;0,687
110012;Ji-Paraná;JI PARANA;RO;Rondônia;N;0,714;0,81;0,617;0,728
110013;Machadinho D'Oeste;MACHADINHO DOESTE;RO;Rondônia;N;0,596;0,755;0,446;0,629
110014;Nova Brasilândia D'Oeste;NOVA BRASILANDIA DOESTE;RO;Rondônia;N;0,643;0,763;0,524;0,664
110015;Ouro Preto do Oeste;OURO PRETO DO OESTE;RO;Rondônia;N;0,682;0,812;0,569;0,687
110018;Pimenta Bueno;PIMENTA BUENO;RO;Rondônia;N;0,71;0,803;0,613;0,726
110020;Porto Velho;PORTO VELHO;RO;Rondônia;N;0,736;0,819;0,638;0,764
110025;Presidente Médici;PRESIDENTE MEDICI;RO;Rondônia;N;0,664;0,792;0,55;0,671
110026;Rio Crespo;RIO CRESPO;RO;Rondônia;N;0,643;0,813;0,513;0,637
110028;Rolim de Moura;ROLIM DE MOURA;RO;Rondônia;N;0,7;0,808;0,598;0,709
110029;Santa Luzia D'Oeste;SANTA LUZIA DOESTE;RO;Rondônia;N;0,67;0,812;0,564;0,657
110030;Vilhena;VILHENA;RO;Rondônia;N;0,731;0,808;0,659;0,734
110032;São Miguel do Guaporé;SAO MIGUEL DO GUAPORE;RO;Rondônia;N;0,646;0,781;0,537;0,644
110033;Nova Mamoré;NOVA MAMORE;RO;Rondônia;N;0,587;0,769;0,424;0,619
110034;Alvorada D'Oeste;ALVORADA DOESTE;RO;Rondônia;N;0,643;0,763;0,534;0,654
110037;Alto Alegre dos Parecis;ALTO ALEGRE DOS PARECIS;RO;Rondônia;N;0,592;0,777;0,443;0,603
110040;Alto Paraíso;ALTO PARAISO;RO;Rondônia;N;0,625;0,804;0,457;0,664
110045;Buritis;BURITIS;RO;Rondônia;N;0,616;0,751;0,479;0,65
110050;Novo Horizonte do Oeste;NOVO HORIZONTE DO OESTE;RO;Rondônia;N;0,634;0,799;0,527;0,606
110060;Cacaulândia;CACAULANDIA;RO;Rondônia;N;0,646;0,801;0,506;0,664
110070;Campo Novo de Rondônia;CAMPO NOVO DE RONDONIA;RO;Rondônia;N;0,593;0,772;0,404;0,667
110080;Candeias do Jamari;CANDEIAS DO JAMARI;RO;Rondônia;N;0,649;0,819;0,512;0,652
110090;Castanheiras;CASTANHEIRAS;RO;Rondônia;N;0,658;0,803;0,547;0,65
110092;Chupinguaia;CHUPINGUAIA;RO;Rondônia;N;0,652;0,82;0,514;0,659
110094;Cujubim;CUJUBIM;RO;Rondônia;N;0,612;0,789;0,439;0,663
110100;Governador Jorge Teixeira;GOVERNADOR JORGE TEIXEIRA;RO;Rondônia;N;0,596;0,762;0,444;0,627
110110;Itapuã do Oeste;ITAPUA DO OESTE;RO;Rondônia;N;0,614;0,751;0,488;0,633
110120;Ministro Andreazza;MINISTRO ANDREAZZA;RO;Rondônia;N;0,638;0,776;0,518;0,647
110130;Mirante da Serra;MIRANTE DA SERRA;RO;Rondônia;N;0,643;0,8;0,494;0,673
110140;Monte Negro;MONTE NEGRO;RO;Rondônia;N;0,607;0,762;0,454;0,645
110143;Nova União;NOVA UNIAO;RO;Rondônia;N;0,587;0,753;0,442;0,608
110145;Parecis;PARECIS;RO;Rondônia;N;0,617;0,8;0,485;0,604
110146;Pimenteiras do Oeste;PIMENTEIRAS DO OESTE;RO;Rondônia;N;0,665;0,816;0,545;0,662
110147;Primavera de Rondônia;PRIMAVERA DE RONDONIA;RO;Rondônia;N;0,641;0,799;0,512;0,645
110148;São Felipe D'Oeste;SAO FELIPE DOESTE;RO;Rondônia;N;0,649;0,78;0,571;0,615
110149;São Francisco do Guaporé;SAO FRANCISCO DO GUAPORE;RO;Rondônia;N;0,611;0,751;0,462;0,657
110150;Seringueiras;SERINGUEIRAS;RO;Rondônia;N;0,598;0,779;0,427;0,644
110155;Teixeirópolis;TEIXEIROPOLIS;RO;Rondônia;N;0,643;0,818;0,498;0,653
110160;Theobroma;THEOBROMA;RO;Rondônia;N;0,589;0,757;0,434;0,622
110170;Urupá;URUPA;RO;Rondônia;N;0,609;0,772;0,471;0,621
110175;Vale do Anari;VALE DO ANARI;RO;Rondônia;N;0,584;0,756;0,421;0,626
110180;Vale do Paraíso;VALE DO PARAISO;RO;Rondônia;N;0,627;0,792;0,485;0,641
120001;Acrelândia;ACRELANDIA;AC;Acre;N;0,604;0,808;0,466;0,584
120005;Assis Brasil;ASSIS BRASIL;AC;Acre;N;0,588;0,77;0,456;0,578
120010;Brasiléia;BRASILEIA;AC;Acre;N;0,614;0,77;0,485;0,619
120013;Bujari;BUJARI;AC;Acre;N;0,589;0,772;0,439;0,603
120017;Capixaba;CAPIXABA;AC;Acre;N;0,575;0,794;0,398;0,601
120020;Cruzeiro do Sul;CRUZEIRO DO SUL;AC;Acre;N;0,664;0,776;0,582;0,648
120025;Epitaciolândia;EPITACIOLANDIA;AC;Acre;N;0,653;0,771;0,553;0,654
120030;Feijó;FEIJO;AC;Acre;N;0,539;0,723;0,388;0,559
120032;Jordão;JORDAO;AC;Acre;N;0,469;0,731;0,283;0,499
120033;Mâncio Lima;MANCIO LIMA;AC;Acre;N;0,625;0,77;0,546;0,58
120034;Manoel Urbano;MANOEL URBANO;AC;Acre;N;0,551;0,767;0,373;0,586
120035;Marechal Thaumaturgo;MARECHAL THAUMATURGO;AC;Acre;N;0,501;0,726;0,361;0,479
120038;Plácido de Castro;PLACIDO DE CASTRO;AC;Acre;N;0,622;0,786;0,517;0,593
120039;Porto Walter;PORTO WALTER;AC;Acre;N;0,532;0,726;0,397;0,521
120040;Rio Branco;RIO BRANCO;AC;Acre;N;0,727;0,798;0,661;0,729
120042;Rodrigues Alves;RODRIGUES ALVES;AC;Acre;N;0,567;0,736;0,477;0,518
120043;Santa Rosa do Purus;SANTA ROSA DO PURUS;AC;Acre;N;0,517;0,781;0,34;0,519
120045;Senador Guiomard;SENADOR GUIOMARD;AC;Acre;N;0,64;0,786;0,513;0,649
120050;Sena Madureira;SENA MADUREIRA;AC;Acre;N;0,603;0,81;0,456;0,593
120060;Tarauacá;TARAUACA;AC;Acre;N;0,539;0,72;0,392;0,554
120070;Xapuri;XAPURI;AC;Acre;N;0,599;0,773;0,448;0,621
120080;Porto Acre;PORTO ACRE;AC;Acre;N;0,576;0,771;0,418;0,593
130002;Alvarães;ALVARAES;AM;Amazonas;N;0,527;0,778;0,377;0,499
130006;Amaturá;AMATURA;AM;Amazonas;N;0,56;0,773;0,455;0,499
130008;Anamã;ANAMA;AM;Amazonas;N;0,594;0,741;0,526;0,537
130010;Anori;ANORI;AM;Amazonas;N;0,561;0,757;0,433;0,54
130014;Apuí;APUI;AM;Amazonas;N;0,637;0,772;0,54;0,621
130020;Atalaia do Norte;ATALAIA DO NORTE;AM;Amazonas;N;0,45;0,733;0,259;0,481
130030;Autazes;AUTAZES;AM;Amazonas;N;0,577;0,799;0,446;0,539
130040;Barcelos;BARCELOS;AM;Amazonas;N;0,5;0,728;0,315;0,545
130050;Barreirinha;BARREIRINHA;AM;Amazonas;N;0,574;0,774;0,522;0,469
130060;Benjamin Constant;BENJAMIN CONSTANT;AM;Amazonas;N;0,574;0,763;0,471;0,526
130063;Beruri;BERURI;AM;Amazonas;N;0,506;0,731;0,346;0,512
130068;Boa Vista do Ramos;BOA VISTA DO RAMOS;AM;Amazonas;N;0,565;0,75;0,484;0,496
130070;Boca do Acre;BOCA DO ACRE;AM;Amazonas;N;0,588;0,777;0,455;0,576
130080;Borba;BORBA;AM;Amazonas;N;0,56;0,776;0,425;0,532
130083;Caapiranga;CAAPIRANGA;AM;Amazonas;N;0,569;0,775;0,436;0,544
130090;Canutama;CANUTAMA;AM;Amazonas;N;0,53;0,752;0,379;0,522
130100;Carauari;CARAUARI;AM;Amazonas;N;0,549;0,745;0,416;0,534
130110;Careiro;CAREIRO;AM;Amazonas;N;0,557;0,779;0,431;0,515
130115;Careiro da Várzea;CAREIRO DA VARZEA;AM;Amazonas;N;0,568;0,779;0,45;0,523
130120;Coari;COARI;AM;Amazonas;N;0,586;0,78;0,425;0,606
130130;Codajás;CODAJAS;AM;Amazonas;N;0,563;0,775;0,421;0,546
130140;Eirunepé;EIRUNEPE;AM;Amazonas;N;0,563;0,756;0,431;0,548
130150;Envira;ENVIRA;AM;Amazonas;N;0,509;0,727;0,349;0,521
130160;Fonte Boa;FONTE BOA;AM;Amazonas;N;0,53;0,719;0,4;0,518
130165;Guajará;GUAJARA;AM;Amazonas;N;0,532;0,762;0,387;0,51
130170;Humaitá;HUMAITA;AM;Amazonas;N;0,605;0,791;0,451;0,621
130180;Ipixuna;IPIXUNA;AM;Amazonas;N;0,481;0,772;0,302;0,476
130185;Iranduba;IRANDUBA;AM;Amazonas;N;0,613;0,799;0,476;0,607
130190;Itacoatiara;ITACOATIARA;AM;Amazonas;N;0,644;0,811;0,534;0,618
130195;Itamarati;ITAMARATI;AM;Amazonas;N;0,477;0,772;0,266;0,529
130200;Itapiranga;ITAPIRANGA;AM;Amazonas;N;0,654;0,792;0,594;0,594
130210;Japurá;JAPURA;AM;Amazonas;N;0,522;0,748;0,345;0,552
130220;Juruá;JURUA;AM;Amazonas;N;0,522;0,704;0,376;0,538
130230;Jutaí;JUTAI;AM;Amazonas;N;0,516;0,766;0,34;0,528
130240;Lábrea;LABREA;AM;Amazonas;N;0,531;0,744;0,374;0,538
130250;Manacapuru;MANACAPURU;AM;Amazonas;N;0,614;0,795;0,481;0,604
